word,answer
Zambia,Nasino
Benin,Ingooigem
Haiti,Zoetermeer
Russian Federation,Trois-Rivières
Latvia,Pretoro
Afghanistan,Smetlede
Burkina Faso,Porto Cesareo
Mali,Sesto Campano
Andorra,Springfield
Serbia,Isola di Capo Rizzuto
"Virgin Islands, British",Massello
Slovenia,Salihli
Colombia,Price
South Georgia and The South Sandwich Islands,María Pinto
Pitcairn Islands,Cossignano
Somalia,Melville
Martinique,Kirkland
El Salvador,Badalona
Liechtenstein,Pierrefonds
Macao,San Fele
United Kingdom (Great Britain),Jerez de la Frontera
Cayman Islands,Vancouver
Benin,Grobbendonk
"Virgin Islands, British",Bruckneudorf
Reunion,Holman
Sao Tome and Principe,Llangollen
Colombia,Zamość
Cuba,Doel
Svalbard and Jan Mayen Islands,Loughborough
Qatar,Trieste
Greenland,South Burlington
Uzbekistan,Napier
Colombia,Cerrillos
Armenia,Galmaarden
Ghana,Peumo
French Polynesia,Châteauroux
Kyrgyzstan,Orange
Honduras,Sepino
Sint Maarten,Neerheylissem
Israel,Koszalin
Rwanda,Vandoeuvre-lès-Nancy
Curaçao,Anzi
Tunisia,Bojano
Monaco,Vichuquén
Nicaragua,Saint-Pierre
Costa Rica,LaSalle
Bahamas,Lang
Ghana,Fortaleza
Dominica,Bon Accord
Singapore,Arsiè
France,Hamme
Bermuda,Kansas City
Bermuda,Newcastle-upon-Tyne
Luxembourg,Olmué
Kiribati,Manavgat
South Sudan,Nelson
Belarus,Forst
Cyprus,Midlands
Lithuania,Pizzoferrato
Gambia,Malahide
Kuwait,Burg
Mauritania,Nives
Swaziland,Tallahassee
Maldives,Levallois-Perret
Sweden,Chestermere
Lesotho,Caledon
Pitcairn Islands,Monticelli d'Ongina
United States,Moere
Luxembourg,Panketal
United States Minor Outlying Islands,Wiener Neustadt
Niger,Recco
Norfolk Island,Jennersdorf
Christmas Island,Modinagar
Mali,Anzegem
Mozambique,Charleville-Mézières
Tuvalu,Rachecourt
Colombia,Arbre
Uruguay,Alcobendas
Uzbekistan,Trowbridge
Thailand,Soria
Guinea,Sromness
Cuba,Husum
Cocos (Keeling) Islands,Broken Hill
Yemen,Whitehorse
Philippines,Springdale
Argentina,Newton Abbot
Guam,Nil-Saint-Vincent-Saint-Martin
Malta,Westmalle
Brunei,Ruddervoorde
Canada,Nerem
Georgia,Tregaron
Ethiopia,Sart-Dames-Avelines
Romania,Price
Iran,Folx-les-Caves
France,Cap-de-la-Madeleine
Mauritius,Segni
Burkina Faso,Rovereto
Syria,Springfield
Saint Vincent and The Grenadines,Saint-Louis
Jersey,Montgomery
